,hand-infant,water-proj,adop,fee-freeze,el-aid,relig-school,anti-ban,aid-contras,mx-missile,immigration,synfuel,edu-spend,superfund,crime,duty-free,south-africa,class
25,1,2,1,2,2,2,1,1,1,1,2,2,2,2,1,1,democrat
26,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,democrat
27,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,democrat
28,1,2,2,1,1,2,1,1,1,2,2,1,1,1,2,1,republican
29,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,democrat
30,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
31,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,0,democrat
32,1,1,1,2,2,2,1,1,1,1,2,2,1,2,1,1,democrat
33,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,republican
34,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,democrat
35,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
36,1,0,2,1,1,1,2,2,2,1,2,1,0,1,2,1,republican
37,1,1,2,1,1,1,2,2,2,2,2,2,1,1,2,1,republican
38,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,2,republican
39,1,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1,democrat
40,1,1,1,2,2,2,1,1,1,2,0,2,2,2,2,0,democrat
41,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,0,democrat
42,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,1,democrat
43,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,1,democrat
44,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,0,democrat
45,1,1,1,2,2,2,1,1,0,2,1,2,2,2,1,0,democrat
46,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,democrat
47,1,2,1,2,2,2,1,1,0,2,2,2,2,2,2,0,democrat
48,1,1,1,2,2,2,1,1,2,2,2,2,2,1,2,1,democrat
49,2,0,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
50,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,democrat
51,2,1,2,1,1,1,2,0,2,2,2,1,1,1,2,1,republican
52,1,1,1,2,2,2,1,1,1,2,2,2,2,2,0,0,democrat
53,1,1,2,1,1,1,2,2,2,1,2,1,1,1,2,2,republican
54,1,1,1,2,2,1,0,1,2,2,1,1,2,1,2,0,democrat
55,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,republican
56,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,republican
57,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
58,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
59,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,0,republican
60,1,1,1,2,2,0,1,1,1,1,2,2,2,2,1,0,democrat
61,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
62,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,0,democrat
63,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,democrat
64,1,1,1,2,2,2,1,1,1,2,1,0,2,2,2,1,democrat
65,1,1,2,1,1,1,1,2,2,2,2,1,1,1,2,1,republican
66,2,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,republican
67,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,2,republican
68,1,0,1,2,2,2,1,1,1,2,2,2,1,2,1,1,democrat
69,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,democrat
70,1,2,1,2,2,2,1,1,1,2,2,2,1,2,1,0,democrat
71,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,republican
72,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,0,democrat
73,1,2,1,1,1,2,1,2,1,1,2,2,1,1,2,1,republican
74,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,democrat
75,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,democrat
76,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2,0,democrat
77,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,democrat
78,1,1,1,2,1,1,2,2,2,1,1,2,1,1,2,1,democrat
79,2,2,2,1,1,2,2,2,2,1,2,1,1,1,2,2,republican
80,1,2,1,2,2,1,1,1,1,1,2,1,2,1,2,0,democrat
81,1,2,1,2,2,2,1,1,0,1,1,1,2,1,2,1,democrat
82,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
83,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
84,2,0,2,1,1,1,2,2,2,1,2,1,1,1,2,2,republican
85,2,2,1,2,1,1,2,2,2,1,1,1,1,1,2,1,democrat
86,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,republican
87,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
88,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,democrat
89,2,2,2,1,1,1,2,2,2,1,2,0,1,1,2,0,republican
90,1,2,1,2,2,2,1,1,1,1,2,2,2,2,1,1,democrat
91,1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,democrat
92,1,1,1,2,2,2,1,1,2,1,1,2,2,0,1,1,democrat
93,1,2,1,2,2,2,1,2,1,1,1,2,2,2,1,1,democrat
94,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,democrat
95,1,2,1,2,1,1,2,0,0,2,1,0,0,0,1,1,democrat
96,2,2,0,2,1,1,2,2,2,2,1,1,1,1,2,1,democrat
97,1,2,2,2,1,1,1,2,2,1,1,2,2,1,2,1,democrat
98,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,democrat
99,2,2,2,1,1,1,2,2,2,1,0,1,1,1,2,2,republican
100,1,2,2,2,1,1,2,2,2,2,1,1,2,1,2,1,democrat
101,1,2,1,2,1,1,1,2,2,2,1,2,2,1,2,1,democrat
102,1,2,1,2,1,1,1,2,0,2,1,2,1,1,1,0,democrat
103,1,2,2,2,1,1,0,2,0,2,2,2,2,1,0,2,democrat
104,0,0,0,0,2,1,1,1,1,1,0,2,1,1,2,0,democrat
105,1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,1,democrat
106,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,republican
107,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,republican
108,1,0,1,2,2,2,1,1,1,2,2,2,2,2,1,0,democrat
109,1,0,1,2,2,2,1,1,1,2,2,2,2,2,1,0,democrat
110,2,2,1,2,2,2,1,1,1,1,2,2,2,2,1,1,democrat
111,2,0,2,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
112,2,0,1,2,2,1,1,1,2,1,2,2,2,2,1,0,democrat
113,2,0,2,1,1,1,2,2,2,1,2,1,1,1,2,2,republican
114,1,0,1,2,2,2,1,1,1,2,2,2,2,2,1,0,democrat
115,2,0,1,2,0,0,1,1,1,1,0,0,2,2,1,1,democrat
116,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,democrat
117,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,republican
118,2,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,democrat
119,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
120,2,0,0,1,1,1,2,2,2,1,2,1,1,1,0,1,republican
121,2,0,2,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
122,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,1,republican
123,1,0,2,1,1,1,2,1,2,2,2,1,1,1,2,1,republican
124,2,0,1,2,2,2,1,1,1,2,2,2,2,2,1,1,democrat
125,2,0,2,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
126,2,0,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
127,2,0,1,2,2,2,1,1,1,1,1,2,2,1,1,1,democrat
128,2,0,1,2,2,1,2,1,2,1,1,2,2,2,1,1,democrat
129,0,0,1,2,2,2,1,1,0,2,0,0,0,0,0,0,democrat
130,1,0,1,2,0,0,1,1,1,2,2,2,2,2,1,0,democrat
131,2,2,1,2,2,1,2,1,1,1,2,2,2,1,2,1,democrat
132,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,0,republican
133,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
134,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,0,republican
135,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,republican
136,2,1,2,1,1,1,2,2,2,1,1,1,1,2,2,1,republican
137,2,0,1,2,2,1,1,1,1,1,2,2,2,1,1,1,democrat
138,2,2,1,2,2,1,1,1,1,1,2,2,2,1,2,1,democrat
139,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,democrat
140,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,1,republican
141,2,2,2,1,1,1,1,1,1,1,2,1,1,1,0,1,republican
142,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,republican
143,0,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,democrat
144,2,0,2,2,2,1,1,1,1,1,2,2,2,1,2,0,democrat
145,2,2,1,2,2,1,1,1,1,1,2,2,2,1,0,1,democrat
146,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,republican
147,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,democrat
148,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,republican
149,2,2,1,2,2,2,1,1,1,1,2,2,1,2,1,1,democrat
150,1,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
151,1,1,0,1,1,1,2,2,1,2,1,0,1,1,2,2,democrat
152,2,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,democrat
153,2,2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,democrat
154,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
155,1,1,2,1,1,1,2,0,2,2,1,1,1,1,2,2,republican
156,1,1,2,1,1,1,1,2,2,2,2,1,1,1,2,2,republican
157,2,1,1,2,2,1,2,1,1,2,1,2,0,0,0,0,democrat
158,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,2,republican
159,2,1,1,2,0,1,1,1,1,1,1,2,2,0,2,0,democrat
160,2,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,democrat
161,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,democrat
162,2,1,1,2,1,1,1,2,2,2,1,1,1,1,2,1,democrat
163,2,1,2,1,1,1,1,2,2,2,2,1,1,1,2,1,republican
164,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,0,democrat
165,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,0,democrat
166,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,republican
167,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,republican
168,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,0,democrat
169,1,2,1,2,2,2,1,1,1,1,1,2,2,1,2,1,democrat
170,1,2,1,2,2,2,0,1,1,0,2,2,2,2,1,0,democrat
171,2,0,2,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
172,2,1,1,2,2,2,1,1,1,1,2,2,0,2,1,1,democrat
173,2,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,democrat
174,1,0,1,2,2,2,1,1,1,2,2,2,2,2,1,0,democrat
175,2,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,democrat
176,2,2,1,1,2,2,1,1,1,1,2,2,2,1,1,1,republican
177,2,2,1,2,2,2,1,1,1,1,1,0,2,2,1,1,democrat
178,0,2,1,2,2,2,1,1,1,1,1,0,2,2,1,0,democrat
179,1,2,1,2,2,2,1,1,1,1,2,2,2,2,1,1,democrat
180,0,0,1,2,2,2,1,1,1,0,0,2,2,2,0,0,democrat
181,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,democrat
182,1,0,1,2,2,2,1,1,1,2,2,2,2,2,1,1,democrat
183,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,democrat
184,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,democrat
185,1,2,1,2,2,2,1,1,1,1,2,0,2,2,1,1,democrat
186,2,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,democrat
187,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,0,democrat
188,1,0,2,1,1,1,1,1,2,2,2,1,0,1,0,0,republican
189,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,1,democrat
190,2,0,2,1,1,1,2,2,2,2,2,1,1,1,2,0,republican
191,2,1,2,1,1,1,2,0,2,1,2,1,1,1,2,0,republican
192,2,2,2,2,2,1,1,1,1,2,1,2,2,1,1,1,democrat
193,2,2,1,2,2,2,1,1,1,2,2,2,2,2,1,1,democrat
194,2,2,1,2,2,1,1,0,1,1,1,2,2,2,1,1,democrat
195,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,0,republican
196,2,2,1,2,2,1,1,1,1,2,1,1,2,1,1,0,democrat
197,2,0,1,1,1,1,2,2,2,1,2,2,2,1,2,1,republican
198,2,2,1,2,2,2,1,1,1,1,1,2,0,2,1,0,democrat
199,1,1,2,2,2,2,1,1,0,2,1,2,2,2,1,0,democrat
200,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,democrat
201,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,democrat
202,1,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,democrat
203,1,2,1,2,2,2,1,1,1,1,2,2,2,2,1,1,democrat
204,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,republican
205,2,2,1,2,2,1,1,1,1,1,2,1,2,2,2,1,democrat
206,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,1,republican
207,1,0,2,1,1,1,1,2,2,1,2,1,1,1,2,1,republican
208,2,2,1,2,2,2,1,1,1,2,2,0,2,2,1,1,democrat
209,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,democrat
210,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,democrat
211,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
212,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,democrat
213,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,1,democrat
214,1,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
215,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,0,democrat
216,1,1,1,2,1,1,2,2,0,1,2,2,2,1,1,0,democrat
217,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,2,republican
218,1,0,1,2,2,2,1,1,1,2,0,2,2,2,1,0,democrat
219,2,1,1,2,2,2,2,1,1,2,1,2,2,1,1,1,democrat
220,2,2,1,2,2,2,1,1,1,2,2,2,2,2,1,0,democrat
221,2,1,1,2,1,1,2,2,2,2,1,2,2,2,1,0,democrat
222,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,0,democrat
223,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,republican
224,2,1,2,1,1,1,2,2,2,1,2,0,1,1,2,2,republican
225,2,0,2,1,1,1,2,2,2,2,2,1,1,1,2,1,republican
226,2,2,1,2,2,1,1,1,1,2,1,2,2,1,1,1,democrat
227,1,2,1,2,2,2,1,1,1,2,2,2,2,2,0,1,democrat
228,2,1,2,1,1,1,2,2,2,2,2,1,1,0,2,1,republican
229,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,republican
230,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,republican
231,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,republican
232,2,1,1,2,2,2,1,1,2,2,1,2,2,2,1,0,democrat
233,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
234,2,2,1,2,2,1,1,1,1,1,2,1,2,1,1,0,democrat
235,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,1,republican
236,2,2,1,2,2,2,1,1,1,2,2,2,2,2,1,1,democrat
237,1,2,1,2,2,1,1,1,2,2,2,1,1,2,2,1,democrat
238,1,1,1,2,2,2,1,1,0,1,2,2,2,2,1,0,democrat
239,2,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,republican
240,2,2,2,1,2,1,1,0,1,2,2,1,1,1,2,1,republican
241,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,democrat
242,2,2,2,2,1,1,1,2,2,2,2,0,2,1,1,1,republican
243,2,1,1,2,2,2,1,1,0,1,2,2,1,2,1,1,democrat
244,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,democrat
245,1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,democrat
246,2,2,1,2,1,2,1,1,1,2,2,2,2,1,0,1,democrat
247,2,1,2,1,1,1,0,2,2,2,2,0,1,1,2,2,republican
248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,republican
249,1,2,1,2,2,2,1,1,0,2,1,2,2,2,1,1,democrat
250,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
251,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
252,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,democrat
253,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,republican
254,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,1,democrat
255,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,1,democrat
256,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,republican
257,2,2,2,1,1,2,2,2,2,2,2,1,2,1,0,1,republican
258,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,democrat
259,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,1,democrat
260,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,1,democrat
261,1,2,1,2,2,0,1,1,1,2,0,0,2,0,0,0,democrat
262,1,2,1,2,2,2,1,1,1,1,2,2,0,2,1,1,democrat
263,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,0,democrat
264,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,0,democrat
265,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,1,democrat
266,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,1,republican
267,1,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,republican
268,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,0,democrat
269,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,1,democrat
270,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,democrat
271,2,1,1,2,2,1,1,1,1,2,0,2,2,2,2,1,democrat
272,1,2,1,2,2,2,1,1,1,1,2,2,2,2,1,0,democrat
273,2,2,2,1,1,2,1,1,2,1,2,1,1,1,0,1,republican
274,1,2,2,1,1,2,1,2,2,1,2,2,2,1,1,1,republican
275,2,2,1,2,1,1,2,2,2,2,0,2,1,1,2,2,democrat
276,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,2,republican
277,2,2,1,1,1,1,1,1,2,1,2,2,2,1,2,1,republican
278,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,1,republican
279,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,republican
280,2,2,1,2,2,2,1,1,1,1,2,2,2,1,2,1,democrat
281,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,0,republican
282,1,2,2,1,1,1,2,2,2,1,2,0,1,1,2,2,republican
283,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,1,republican
284,2,2,1,2,2,1,1,1,1,1,1,2,2,2,0,1,democrat
285,2,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,democrat
286,2,2,1,2,2,1,0,1,0,1,1,1,2,1,1,0,democrat
287,1,1,1,0,2,1,1,1,1,2,1,2,1,2,0,1,democrat
288,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,democrat
289,1,1,1,2,1,1,2,1,2,1,1,2,1,1,2,0,democrat
290,1,2,1,2,0,1,0,1,1,1,2,2,1,1,2,1,democrat
291,1,2,1,2,2,1,1,1,1,1,2,0,2,1,2,1,democrat
292,1,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,democrat
293,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,democrat
294,2,1,1,2,2,1,1,1,2,1,1,2,1,1,2,0,democrat
295,2,1,2,1,1,1,0,0,2,1,2,1,0,0,0,0,republican
296,2,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,republican
297,1,1,1,2,2,1,1,1,1,1,2,2,0,2,1,0,democrat
298,2,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,democrat
299,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,democrat
300,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,republican
301,2,2,0,2,2,1,1,1,1,2,2,2,2,2,1,1,democrat
302,2,2,2,1,1,1,1,2,2,1,2,1,1,1,2,1,republican
303,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
304,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,0,republican
305,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,republican
306,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
307,1,2,1,2,2,1,1,1,1,2,2,2,2,1,2,0,democrat
308,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,republican
309,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,democrat
310,2,2,2,1,1,1,2,2,2,1,2,1,1,1,1,2,republican
311,2,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,democrat
312,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,democrat
313,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
314,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,republican
315,2,1,1,1,1,1,1,0,2,2,2,2,0,0,1,0,republican
316,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,2,democrat
317,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,democrat
318,2,2,1,2,2,2,1,1,1,2,2,2,2,2,1,0,democrat
319,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,0,democrat
320,2,1,1,2,2,1,2,1,1,1,2,2,1,1,2,1,democrat
321,1,1,1,2,2,2,1,1,1,1,2,2,1,2,2,1,democrat
322,1,1,1,2,0,1,2,0,2,2,1,2,1,1,2,0,democrat
323,1,1,1,2,1,1,2,1,0,1,2,2,1,1,2,0,democrat
324,2,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,republican
325,2,1,2,2,1,1,2,2,0,2,2,1,1,1,2,1,democrat
326,1,1,2,1,2,2,1,1,1,2,1,2,2,1,2,1,democrat
327,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,republican
328,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,democrat
329,1,0,1,2,2,1,1,1,1,1,2,2,2,2,1,0,democrat
330,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,2,republican
331,1,0,1,2,2,2,1,1,1,2,2,2,2,2,1,0,democrat
332,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,0,democrat
333,2,2,1,2,2,2,1,1,1,2,2,2,2,2,1,1,democrat
334,2,1,1,2,2,1,1,1,0,2,1,1,2,2,1,1,democrat
335,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,0,republican
336,2,2,1,2,2,1,1,1,2,2,1,2,2,1,0,1,democrat
337,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,1,democrat
338,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,1,democrat
339,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,republican
340,2,2,2,1,1,1,2,2,2,1,1,1,2,1,2,1,republican
341,2,0,1,0,2,1,1,1,1,1,1,2,0,0,1,1,democrat
342,2,1,1,2,1,0,1,2,2,1,1,2,1,2,1,1,democrat
343,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,1,republican
344,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,democrat
345,2,2,2,1,1,1,1,2,2,1,2,1,2,1,1,1,republican
346,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,republican
347,1,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,republican
348,1,2,1,2,2,2,1,1,1,1,2,1,2,2,1,0,democrat
349,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,republican
350,2,1,2,2,2,1,1,2,1,2,1,2,2,2,1,1,democrat
351,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,republican
352,2,1,2,1,2,1,1,1,1,2,1,2,1,2,1,0,democrat
353,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,republican
354,2,1,1,2,2,1,1,1,1,1,2,0,2,2,1,1,democrat
355,1,2,1,1,2,2,2,1,1,1,2,2,2,1,1,1,republican
356,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
357,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,republican
358,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,0,democrat
359,2,2,2,1,1,1,2,2,2,1,0,1,1,1,2,1,republican
360,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,democrat
361,1,2,1,2,1,1,1,2,1,1,2,2,1,1,2,0,democrat
362,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,democrat
363,1,1,2,1,1,1,2,2,2,1,1,2,1,2,2,2,republican
364,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,1,republican
365,2,1,2,2,1,1,2,2,2,1,1,2,1,1,2,2,democrat
366,1,2,1,2,2,2,1,1,2,1,1,2,2,2,2,0,democrat
